state,district,gdis_historical_disaster_count,gdis_flood_event_count,gdis_storm_event_count,gdis_drought_event_count,gdis_extreme_temp_event_count,gdis_earthquake_event_count,gdis_landslide_event_count,gdis_unique_disaster_types_count,gdis_year_first_record,gdis_year_last_record,gdis_recent_10yr_event_count,gdis_disaster_frequency_per_decade
ANDAMAN & NICOBAR,NICOBAR,0,0,0,0,0,0,0,0,1960,2018,0,0.0
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,0,0,0,0,0,0,0,0,1960,2018,0,0.0
ANDAMAN & NICOBAR,SOUTH ANDAMAN,1,0,1,0,0,0,0,1,1976,1976,0,0.17
ANDHRA PRADESH,ANAKAPALLI,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,ANANTAPURAMU,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,ANNAMAYYA DISTRICT,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,BAPATLA,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,CHITTOOR,4,2,2,0,0,0,0,2,1984,2017,2,0.68
ANDHRA PRADESH,DR B R AMBEDKAR KONASEEMA,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,EAST GODAVARI,6,2,2,0,1,1,0,4,1996,2013,2,1.02
ANDHRA PRADESH,ELURU,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,GUNTUR,14,4,7,0,2,1,0,4,1969,2013,5,2.37
ANDHRA PRADESH,KAKINADA,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,KRISHNA,14,5,7,0,1,1,0,4,1969,2013,4,2.37
ANDHRA PRADESH,KURNOOL,4,4,0,0,0,0,0,1,2000,2009,1,0.68
ANDHRA PRADESH,NANDYAL,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,NTR DISTRICT,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,PALNADU,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,PARVATHIPURAM MANYAM,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,PRAKASAM,9,4,3,0,1,1,0,4,1977,2015,3,1.53
ANDHRA PRADESH,SPSR NELLORE,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,SRI SATHYASAI DISTRICT,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,SRIKAKULAM,5,2,3,0,0,0,0,2,1980,2018,1,0.85
ANDHRA PRADESH,TIRUPATI,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,VISHAKHAPATNAM,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ANDHRA PRADESH,VIZIANAGARAM,1,1,0,0,0,0,0,1,2005,2005,0,0.17
ANDHRA PRADESH,WEST GODAVARI,10,3,5,0,1,1,0,4,1980,2013,2,1.69
ANDHRA PRADESH,YSR DISTRICT,161,62,68,5,18,7,1,6,1964,2018,48,27.29
ARUNACHAL PRADESH,ANJAW,24,22,1,0,0,0,1,3,1988,2017,7,4.07
