state,district,ifi_dfsi_score,ifi_flooded_area_pct,ifi_permanent_water_pct,ifi_historical_event_count,ifi_mean_flood_duration_days,ifi_total_fatalities,ifi_total_injured,ifi_flood_recurrence_rate
ANDAMAN & NICOBAR,NICOBAR,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDAMAN & NICOBAR,SOUTH ANDAMAN,8.36,1.443,0.0,13,2.0,1,0,2.28
ANDHRA PRADESH,ANAKAPALLI,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,ANANTAPURAMU,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,ANNAMAYYA DISTRICT,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,BAPATLA,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,CHITTOOR,14.969,0.505,0.069,22,8.0,124,0,3.86
ANDHRA PRADESH,DR B R AMBEDKAR KONASEEMA,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,EAST GODAVARI,17.022,3.703,2.489,26,9.0,222,1,4.56
ANDHRA PRADESH,ELURU,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,GUNTUR,18.832,9.243,1.0,28,8.0,188,108,4.91
ANDHRA PRADESH,KAKINADA,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,KRISHNA,15.957,0.71,3.895,24,8.0,210,1,4.21
ANDHRA PRADESH,KURNOOL,17.238,0.289,0.505,26,7.0,161,108,4.56
ANDHRA PRADESH,NANDYAL,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,NTR DISTRICT,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,PALNADU,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,PARVATHIPURAM MANYAM,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,PRAKASAM,15.738,0.879,0.274,24,8.0,177,0,4.21
ANDHRA PRADESH,SPSR NELLORE,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,SRI SATHYASAI DISTRICT,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,SRIKAKULAM,15.261,3.447,0.566,23,6.0,144,0,4.04
ANDHRA PRADESH,TIRUPATI,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,VISHAKHAPATNAM,14.047,1.222,0.239,21,7.0,0,0,3.68
ANDHRA PRADESH,VIZIANAGARAM,15.961,0.79,0.321,24,9.0,63,107,4.21
ANDHRA PRADESH,WEST GODAVARI,16.388,3.539,2.064,25,8.0,232,0,4.39
ANDHRA PRADESH,YSR DISTRICT,14.047,1.222,0.239,21,7.0,0,0,3.68
ARUNACHAL PRADESH,ANJAW,10.332,1.348,0.252,15,5.0,5,1,2.63
ARUNACHAL PRADESH,CHANGLANG,11.252,2.517,0.021,17,5.0,4,1,2.98
ARUNACHAL PRADESH,DIBANG VALLEY,14.047,1.222,0.239,21,7.0,0,0,3.68
ARUNACHAL PRADESH,EAST KAMENG,7.517,1.327,0.061,11,2.0,0,0,1.93
ARUNACHAL PRADESH,EAST SIANG,13.929,2.56,1.356,21,6.0,13,668,3.68
ARUNACHAL PRADESH,KURUNG KUMEY,11.51,0.556,0.025,17,4.0,17,3,2.98
ARUNACHAL PRADESH,LOHIT,11.566,2.148,0.571,17,6.0,14,1,2.98
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,10.435,1.398,0.162,16,4.0,5,1,2.81
ARUNACHAL PRADESH,LOWER SUBANSIRI,10.747,0.829,0.007,16,5.0,12,1,2.81
ARUNACHAL PRADESH,PAPUM-PARE,13.82,0.825,0.022,21,4.0,73,9,3.68
ARUNACHAL PRADESH,TAWANG,13.365,0.876,0.228,20,6.0,92,8,3.51
ARUNACHAL PRADESH,TIRAP,9.476,0.63,0.021,14,5.0,4,1,2.46
ARUNACHAL PRADESH,UPPER SIANG,14.469,2.386,0.336,22,4.0,24,671,3.86
ARUNACHAL PRADESH,UPPER SUBANSIRI,11.125,1.156,0.079,17,7.0,5,1,2.98
ARUNACHAL PRADESH,WEST KAMENG,12.989,1.888,0.044,19,4.0,22,6,3.33
ARUNACHAL PRADESH,WEST SIANG,14.207,0.621,0.123,21,7.0,52,668,3.68
ASSAM,BAJALI,14.047,1.222,0.239,21,7.0,0,0,3.68
ASSAM,BAKSA,14.852,3.732,0.098,22,7.0,51,1,3.86
ASSAM,BARPETA,17.072,10.488,3.479,26,9.0,159,5,4.56
