state,district,date,daily_actual_mm,daily_normal_mm,rolling_3d_rainfall_mm,rolling_7d_rainfall_mm,rolling_14d_rainfall_mm,rolling_30d_rainfall_mm,rolling_3d_max_mm,rolling_7d_max_mm,rolling_14d_max_mm,rainfall_anomaly_mm,rainfall_intensity_ratio,is_rainy_day,is_heavy_rainy_day,is_very_heavy_rainy_day,consecutive_rainy_days,rolling_7d_rainy_days_count,cumulative_actual_mm,cumulative_normal_mm,monthly_actual_mm,monthly_normal_mm
ANDAMAN & NICOBAR,NICOBAR,2026-08-19,0.5,7.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-6.9,0.06756747626016722,0,0,0,0,0.0,431.7,686.9,186.1,141.5
ANDAMAN & NICOBAR,NICOBAR,2026-08-20,0.5,9.4,1.0,1.0,1.0,1.0,0.5,0.5,0.5,-8.9,0.05319143277507152,0,0,0,0,0.0,432.3,696.3,186.6,150.9
ANDAMAN & NICOBAR,NICOBAR,2026-08-21,2.4,9.9,3.4,3.4,3.4,3.4,2.4,2.4,2.4,-7.5,0.2424239975515176,0,0,0,0,0.0,431.7,686.9,189.0,160.8
ANDAMAN & NICOBAR,NICOBAR,2026-08-22,9.3,7.1,12.200000000000001,12.700000000000001,12.700000000000001,12.700000000000001,9.3,9.3,9.3,2.200000000000001,1.309857310060127,1,0,0,1,1.0,444.0,713.3,198.3,167.9
ANDAMAN & NICOBAR,NICOBAR,2026-08-23,1.3,7.9,13.000000000000002,14.000000000000002,14.000000000000002,14.000000000000002,9.3,9.3,9.3,-6.6000000000000005,0.1645567537256282,0,0,0,0,1.0,445.3,721.2,199.7,175.8
ANDAMAN & NICOBAR,NICOBAR,2026-08-24,0.5,8.0,11.100000000000001,14.500000000000002,14.500000000000002,14.500000000000002,9.3,9.3,9.3,-7.5,0.06249992187509766,0,0,0,0,1.0,445.9,729.2,200.2,183.8
ANDAMAN & NICOBAR,NICOBAR,2026-08-25,0.0,8.4,1.8,14.500000000000002,14.500000000000002,14.500000000000002,1.3,9.3,9.3,-8.4,0.0,0,0,0,0,1.0,431.7,686.9,200.2,192.2
ANDAMAN & NICOBAR,NICOBAR,2026-08-26,0.0,8.1,0.5,14.000000000000002,14.500000000000002,14.500000000000002,0.5,9.3,9.3,-8.1,0.0,0,0,0,0,1.0,445.9,745.7,200.2,200.3
ANDAMAN & NICOBAR,NICOBAR,2026-08-27,0.0,8.5,0.0,13.500000000000002,14.500000000000002,14.500000000000002,0.0,9.3,9.3,-8.5,0.0,0,0,0,0,1.0,445.9,754.2,200.2,208.8
ANDAMAN & NICOBAR,NICOBAR,2026-08-28,10.9,11.5,10.9,22.0,25.400000000000002,25.400000000000002,10.9,10.9,10.9,-0.5999999999999996,0.9478252627606412,1,0,0,1,2.0,456.7,765.7,211.1,220.3
ANDAMAN & NICOBAR,NICOBAR,2026-08-29,6.0,8.3,16.9,18.700000000000003,31.400000000000002,31.400000000000002,10.9,10.9,10.9,-2.3000000000000007,0.7228906953124152,1,0,0,2,2.0,462.7,774.0,217.1,228.6
ANDAMAN & NICOBAR,NICOBAR,2026-08-30,3.0,8.6,19.9,20.4,34.400000000000006,34.400000000000006,10.9,10.9,10.9,-5.6,0.3488368036781353,1,0,0,3,3.0,465.7,782.6,220.1,237.2
ANDAMAN & NICOBAR,NICOBAR,2026-08-31,0.1,8.7,9.1,20.0,34.5,34.5,6.0,10.9,10.9,-8.6,0.011494239661793495,0,0,0,0,3.0,465.9,791.3,220.2,245.9
ANDAMAN & NICOBAR,NICOBAR,2026-09-01,3.0,9.1,6.1,23.0,37.5,37.5,3.0,10.9,10.9,-6.1,0.32966996739564025,1,0,0,1,4.0,445.9,745.7,3.0,9.1
ANDAMAN & NICOBAR,NICOBAR,2026-09-02,2.0,6.3,5.1,25.0,39.0,39.5,3.0,10.9,10.9,-4.3,0.3174598135558515,0,0,0,0,4.0,470.9,806.7,5.0,15.4
ANDAMAN & NICOBAR,NICOBAR,2026-09-03,3.4,5.4,8.4,28.4,41.900000000000006,42.900000000000006,3.4,10.9,10.9,-2.0000000000000004,0.6296284636509932,1,0,0,1,5.0,470.9,806.7,8.5,20.8
ANDAMAN & NICOBAR,NICOBAR,2026-09-04,3.5,8.8,8.9,21.0,43.0,46.400000000000006,3.5,6.0,10.9,-5.300000000000001,0.3977268207649764,1,0,0,2,5.0,477.9,820.9,12.0,29.6
ANDAMAN & NICOBAR,NICOBAR,2026-09-05,4.2,9.8,11.100000000000001,19.2,37.9,50.6,4.2,4.2,10.9,-5.6000000000000005,0.42857099125409054,1,0,0,3,5.0,482.0,830.7,16.2,39.4
ANDAMAN & NICOBAR,NICOBAR,2026-09-06,0.0,9.4,7.7,16.2,36.6,50.6,4.2,4.2,10.9,-9.4,0.0,0,0,0,0,4.0,482.0,840.1,16.2,48.8
ANDAMAN & NICOBAR,NICOBAR,2026-09-07,0.0,12.0,4.2,16.099999999999998,36.1,50.6,4.2,4.2,10.9,-12.0,0.0,0,0,0,0,4.0,482.0,852.1,16.2,60.8
ANDAMAN & NICOBAR,NICOBAR,2026-09-08,1.6,10.7,1.6,14.700000000000001,37.7,52.2,1.6,4.2,10.9,-9.1,0.14953257053030794,0,0,0,0,3.0,483.6,862.8,17.8,71.5
ANDAMAN & NICOBAR,NICOBAR,2026-09-09,0.5,10.0,2.1,13.200000000000001,38.2,52.7,1.6,4.2,10.9,-9.5,0.04999995000005,0,0,0,0,3.0,484.2,872.8,18.3,81.5
ANDAMAN & NICOBAR,NICOBAR,2026-09-10,5.9,8.1,8.0,15.700000000000001,44.1,58.6,5.9,5.9,10.9,-2.1999999999999993,0.7283941624763427,1,0,0,1,3.0,484.2,872.8,24.2,89.6
ANDAMAN & NICOBAR,NICOBAR,2026-09-11,0.1,6.0,6.5,12.3,33.300000000000004,58.7,5.9,5.9,6.0,-5.9,0.016666638888935187,0,0,0,0,2.0,490.1,886.9,24.2,95.6
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-19,9.1,16.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,-7.700000000000001,0.5416663442462236,1,0,0,1,1.0,1582.0,1229.4,274.6,289.8
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-20,49.7,14.4,58.800000000000004,58.800000000000004,58.800000000000004,58.800000000000004,49.7,49.7,49.7,35.300000000000004,3.451386492092714,1,0,0,2,2.0,1631.7,1243.8,324.4,304.2
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-21,68.1,12.8,126.9,126.9,126.9,126.9,68.1,68.1,68.1,55.3,5.320308343509106,1,1,0,3,3.0,1582.0,1229.4,392.4,317.0
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-22,89.6,15.2,207.4,216.5,216.5,216.5,89.6,89.6,89.6,74.39999999999999,5.894732963991471,1,1,0,4,4.0,1789.4,1271.8,482.1,332.2
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-23,13.7,21.6,171.39999999999998,230.2,230.2,230.2,89.6,89.6,89.6,-7.900000000000002,0.6342589656208492,1,0,0,5,5.0,1803.1,1293.4,495.7,353.8
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-24,10.7,15.2,114.0,240.9,240.9,240.9,89.6,89.6,89.6,-4.5,0.7039469052980887,1,0,0,6,6.0,1813.8,1308.6,506.4,369.0
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-25,11.0,16.3,35.4,251.9,251.9,251.9,13.7,89.6,89.6,-5.300000000000001,0.6748462117507903,1,0,0,7,7.0,1582.0,1229.4,517.5,385.3
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-26,19.6,18.4,41.3,262.4,271.5,271.5,19.6,89.6,89.6,1.2000000000000028,1.0652168123821673,1,0,0,8,7.0,1844.4,1343.3,537.0,403.7
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-27,56.8,23.5,87.39999999999999,269.5,328.3,328.3,56.8,89.6,89.6,33.3,2.41702024807649,1,0,0,9,7.0,1901.2,1366.8,593.9,427.2
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-28,24.0,18.8,100.39999999999999,225.39999999999998,352.3,352.3,56.8,89.6,89.6,5.199999999999999,1.2765950656409224,1,0,0,10,7.0,1925.2,1385.6,617.9,446.0
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-29,6.3,13.5,87.09999999999998,142.1,358.6,358.6,56.8,56.8,89.6,-7.2,0.4666663209879104,1,0,0,11,7.0,1931.5,1399.1,624.1,459.5
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-30,5.7,15.8,35.99999999999999,134.10000000000002,364.3,364.3,24.0,56.8,89.6,-10.100000000000001,0.3607592653422371,1,0,0,12,7.0,1937.2,1414.9,629.9,475.3
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-31,3.3,15.9,15.299999999999994,126.69999999999999,367.6,367.6,6.3,56.8,89.6,-12.600000000000001,0.20754703927859164,1,0,0,13,7.0,1940.5,1430.8,633.2,491.2
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-01,0.3,17.3,9.299999999999992,115.99999999999999,367.9,367.9,5.7,56.8,89.6,-17.0,0.017341030438710728,0,0,0,0,6.0,1844.4,1343.3,0.3,17.3
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-02,0.8,15.9,4.399999999999993,97.2,359.59999999999997,368.7,3.3,56.8,89.6,-15.1,0.05031443376450707,0,0,0,0,5.0,1941.5,1464.0,1.1,33.2
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-03,0.0,18.8,1.099999999999993,40.4,309.9,368.7,0.8,24.0,89.6,-18.8,0.0,0,0,0,0,4.0,1941.5,1464.0,1.1,52.0
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-04,0.0,18.0,0.7999999999999929,16.4,241.79999999999998,368.7,0.8,6.3,89.6,-18.0,0.0,0,0,0,0,3.0,1941.5,1500.8,1.1,70.0
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-05,11.3,15.5,11.299999999999994,21.4,163.5,380.0,11.3,11.3,56.8,-4.199999999999999,0.7290317877214273,1,0,0,1,3.0,1952.8,1516.3,12.4,85.5
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-06,53.5,14.3,64.8,69.2,203.3,433.5,53.5,53.5,56.8,39.2,3.741256124995717,1,0,0,2,3.0,2006.3,1530.6,65.8,99.8
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-07,63.6,20.5,128.4,129.5,256.2,497.1,63.6,63.6,63.6,43.1,3.102437511006092,1,0,0,3,3.0,2069.9,1551.1,129.4,120.3
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-08,106.8,17.2,223.89999999999998,236.0,352.0,603.9,106.8,106.8,106.8,89.6,6.209298715524003,1,1,0,4,4.0,2176.8,1568.3,236.2,137.5
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-09,85.0,17.2,255.39999999999998,320.20000000000005,417.4,688.9,106.8,106.8,106.8,67.8,4.941857591943261,1,1,0,5,5.0,2261.8,1585.5,321.2,154.7
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-10,27.2,12.9,219.0,347.40000000000003,387.8,716.1,106.8,106.8,106.8,14.299999999999999,2.108525497267056,1,0,0,6,6.0,2261.8,1585.5,348.4,167.6
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-09-11,49.8,14.9,162.0,397.20000000000005,413.6,765.9,85.0,106.8,106.8,34.9,3.3422796360539353,1,0,0,7,7.0,2338.8,1613.3,398.2,182.5
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-19,0.9,12.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,-11.1,0.07499993750005209,0,0,0,0,0.0,885.9,1047.9,230.5,230.4
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-20,9.0,10.9,9.9,9.9,9.9,9.9,9.0,9.0,9.0,-1.9000000000000004,0.8256873158831964,1,0,0,1,1.0,894.9,1058.8,239.5,241.3
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-21,7.4,13.4,17.3,17.3,17.3,17.3,9.0,9.0,9.0,-6.0,0.552238393851945,1,0,0,2,2.0,885.9,1047.9,246.9,254.7
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-22,23.2,10.4,39.6,40.5,40.5,40.5,23.2,23.2,23.2,12.799999999999999,2.230767085800879,1,0,0,3,3.0,925.5,1082.6,270.1,265.1
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-23,10.7,12.4,41.3,51.2,51.2,51.2,23.2,23.2,23.2,-1.700000000000001,0.8629025299173145,1,0,0,4,4.0,936.2,1095.0,280.8,277.5
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-24,12.8,12.9,46.699999999999996,64.0,64.0,64.0,23.2,23.2,23.2,-0.09999999999999964,0.992247292831556,1,0,0,5,5.0,949.0,1107.9,293.6,290.4
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-25,8.4,10.4,31.9,72.4,72.4,72.4,12.8,23.2,23.2,-2.0,0.8076915310658356,1,0,0,6,6.0,885.9,1047.9,302.0,300.8
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-26,6.4,17.5,27.6,77.89999999999999,78.8,78.8,12.8,23.2,23.2,-11.1,0.3657140767348133,1,0,0,7,7.0,963.9,1135.8,308.4,318.3
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-27,17.8,14.9,32.6,86.69999999999999,96.6,96.6,17.8,23.2,23.2,2.9000000000000004,1.1946300707180735,1,0,0,8,7.0,981.6,1150.7,326.2,333.2
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-28,7.8,12.9,32.0,87.10000000000001,104.4,104.4,17.8,23.2,23.2,-5.1000000000000005,0.6046506940692294,1,0,0,9,7.0,989.4,1163.6,334.0,346.1
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-29,7.8,13.8,33.4,71.7,112.2,112.2,17.8,17.8,23.2,-6.000000000000001,0.5652169817268248,1,0,0,10,7.0,997.2,1177.4,341.7,359.9
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-30,8.6,12.8,24.2,69.6,120.8,120.8,8.6,17.8,23.2,-4.200000000000001,0.6718744750980663,1,0,0,11,7.0,1005.8,1190.2,350.3,372.7
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-31,3.4,16.3,19.799999999999997,60.2,124.2,124.2,8.6,17.8,23.2,-12.9,0.20858882908660792,1,0,0,12,7.0,1009.2,1206.5,353.7,389.0
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-01,1.8,14.2,13.799999999999999,53.6,126.0,126.0,8.6,17.8,23.2,-12.399999999999999,0.12676047411234218,0,0,0,0,6.0,963.9,1135.8,1.8,14.2
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-02,5.1,14.0,10.3,52.300000000000004,130.2,131.1,5.1,17.8,23.2,-8.9,0.3642854540818185,1,0,0,1,6.0,1016.1,1234.7,6.9,28.2
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-03,1.1,11.3,8.0,35.6,122.3,132.2,5.1,8.6,23.2,-10.200000000000001,0.0973450465973039,0,0,0,0,5.0,1016.1,1234.7,8.0,39.5
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-04,1.9,13.6,8.1,29.7,116.8,134.1,5.1,8.6,23.2,-11.7,0.1397057796281032,0,0,0,0,4.0,1019.1,1259.6,9.9,53.1
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-05,7.0,12.5,10.0,28.9,100.6,141.1,7.0,8.6,17.8,-5.5,0.5599995520003584,1,0,0,1,4.0,1026.1,1272.1,17.0,65.6
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-06,0.5,12.4,9.4,20.8,90.39999999999999,141.6,7.0,7.0,17.8,-11.9,0.04032254812697732,0,0,0,0,3.0,1026.7,1284.5,17.5,78.0
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-07,6.3,14.9,13.8,23.700000000000003,83.9,147.9,7.0,7.0,17.8,-8.600000000000001,0.4228185081754979,1,0,0,1,3.0,1033.0,1299.4,23.8,92.9
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-08,42.7,12.9,49.5,64.60000000000001,118.19999999999999,190.6,42.7,42.7,42.7,29.800000000000004,3.3100749534302687,1,0,0,2,4.0,1075.7,1312.3,66.5,105.8
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-09,18.1,18.0,67.1,77.60000000000001,129.9,208.7,42.7,42.7,42.7,0.10000000000000142,1.0055549969138906,1,0,0,3,4.0,1093.7,1330.3,84.6,123.8
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-10,25.7,15.5,86.5,102.20000000000002,137.79999999999998,234.4,42.7,42.7,42.7,10.2,1.6580634464106798,1,0,0,4,5.0,1093.7,1330.3,110.3,139.3
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-09-11,0.0,10.5,43.8,100.30000000000001,130.0,234.4,25.7,42.7,42.7,-10.5,0.0,0,0,0,0,5.0,1119.5,1356.3,110.3,149.8
ANDHRA PRADESH,ANAKAPALLI,2026-08-19,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2,0.0,0,0,0,0,0.0,257.2,381.7,84.4,98.3
ANDHRA PRADESH,ANAKAPALLI,2026-08-20,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,0.0,0,0,0,0,0.0,257.2,386.0,84.4,102.6
ANDHRA PRADESH,ANAKAPALLI,2026-08-21,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6,0.0,0,0,0,0,0.0,257.2,381.7,84.4,108.2
ANDHRA PRADESH,ANAKAPALLI,2026-08-22,1.9,6.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,-5.0,0.27536191976533364,0,0,0,0,0.0,259.1,398.5,86.3,115.1
ANDHRA PRADESH,ANAKAPALLI,2026-08-23,2.5,3.6,4.4,4.4,4.4,4.4,2.5,2.5,2.5,-1.1,0.694442515437457,1,0,0,1,1.0,261.6,402.1,88.9,118.7
ANDHRA PRADESH,ANAKAPALLI,2026-08-24,0.0,3.9,4.4,4.4,4.4,4.4,2.5,2.5,2.5,-3.9,0.0,0,0,0,0,1.0,261.6,406.0,88.9,122.6
ANDHRA PRADESH,ANAKAPALLI,2026-08-25,1.0,5.2,3.5,5.4,5.4,5.4,2.5,2.5,2.5,-4.2,0.1923073224859183,0,0,0,0,1.0,257.2,381.7,89.9,127.8
ANDHRA PRADESH,ANAKAPALLI,2026-08-26,0.0,6.3,1.0,5.4,5.4,5.4,1.0,2.5,2.5,-6.3,0.0,0,0,0,0,1.0,262.6,417.5,89.9,134.1
ANDHRA PRADESH,ANAKAPALLI,2026-08-27,3.1,7.3,4.1,8.5,8.5,8.5,3.1,3.1,3.1,-4.199999999999999,0.42465695252472263,1,0,0,1,2.0,265.7,424.8,93.0,141.4
ANDHRA PRADESH,ANAKAPALLI,2026-08-28,0.0,4.5,3.1,8.5,8.5,8.5,3.1,3.1,3.1,-4.5,0.0,0,0,0,0,2.0,265.7,429.3,93.0,145.9
ANDHRA PRADESH,ANAKAPALLI,2026-08-29,0.0,5.4,3.1,6.6,8.5,8.5,3.1,3.1,3.1,-5.4,0.0,0,0,0,0,2.0,265.7,434.7,93.0,151.3
ANDHRA PRADESH,ANAKAPALLI,2026-08-30,0.0,7.4,0.0,4.1,8.5,8.5,0.0,3.1,3.1,-7.4,0.0,0,0,0,0,1.0,265.7,442.1,93.0,158.7
ANDHRA PRADESH,ANAKAPALLI,2026-08-31,0.2,6.5,0.2,4.3,8.7,8.7,0.2,3.1,3.1,-6.3,0.030769183432025494,0,0,0,0,1.0,266.0,448.6,93.2,165.2
ANDHRA PRADESH,ANAKAPALLI,2026-09-01,0.0,6.9,0.2,3.3000000000000003,8.7,8.7,0.2,3.1,3.1,-6.9,0.0,0,0,0,0,1.0,262.6,417.5,0.0,6.9
ANDHRA PRADESH,ANAKAPALLI,2026-09-02,0.0,5.1,0.2,3.3000000000000003,8.7,8.7,0.2,3.1,3.1,-5.1,0.0,0,0,0,0,1.0,266.0,460.6,0.0,12.0
ANDHRA PRADESH,ANAKAPALLI,2026-09-03,0.0,7.3,0.0,0.2,8.7,8.7,0.0,0.2,3.1,-7.3,0.0,0,0,0,0,0.0,266.0,460.6,0.0,19.3
ANDHRA PRADESH,ANAKAPALLI,2026-09-04,0.7,5.0,0.7,0.8999999999999999,9.4,9.4,0.7,0.7,3.1,-4.3,0.13999972000056,0,0,0,0,0.0,266.7,472.9,0.7,24.3
ANDHRA PRADESH,ANAKAPALLI,2026-09-05,0.0,4.0,0.7,0.8999999999999999,7.5,9.4,0.7,0.7,3.1,-4.0,0.0,0,0,0,0,0.0,266.7,476.9,0.7,28.3
ANDHRA PRADESH,ANAKAPALLI,2026-09-06,8.3,5.4,9.0,9.200000000000001,13.3,17.700000000000003,8.3,8.3,8.3,2.9000000000000004,1.5370341906774247,1,0,0,1,1.0,275.0,482.3,9.0,33.7
ANDHRA PRADESH,ANAKAPALLI,2026-09-07,8.9,5.1,17.200000000000003,17.900000000000002,22.200000000000003,26.6,8.9,8.9,8.9,3.8000000000000007,1.7450946174615347,1,0,0,2,2.0,283.9,487.4,17.9,38.8
ANDHRA PRADESH,ANAKAPALLI,2026-09-08,0.0,5.6,17.200000000000003,17.900000000000002,21.200000000000003,26.6,8.9,8.9,8.9,-5.6,0.0,0,0,0,0,2.0,283.9,493.0,17.9,44.4
ANDHRA PRADESH,ANAKAPALLI,2026-09-09,2.9,5.6,11.8,20.8,24.1,29.5,8.9,8.9,8.9,-2.6999999999999997,0.5178562181138963,1,0,0,1,3.0,286.8,498.6,20.8,50.0
ANDHRA PRADESH,ANAKAPALLI,2026-09-10,3.1,5.6,6.0,23.900000000000002,24.1,32.6,3.1,8.9,8.9,-2.4999999999999996,0.5535704400527857,1,0,0,2,4.0,286.8,498.6,24.0,55.6
ANDHRA PRADESH,ANAKAPALLI,2026-09-11,17.5,6.5,23.5,40.7,41.6,50.1,17.5,17.5,17.5,11.0,2.6923035503022303,1,0,0,3,5.0,307.5,510.7,41.5,62.1
