state,district,gfsm_susceptibility_score,gfsm_dominant_class,gfsm_high_susceptibility_pct,gfsm_very_high_susceptibility_pct,gfsm_class_1_pct,gfsm_class_2_pct,gfsm_class_3_pct,gfsm_class_4_pct,gfsm_class_5_pct
ANDAMAN & NICOBAR,NICOBAR,2.2,2,0.0,0.0,10.0,60.0,30.0,0.0,0.0
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2.0,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0
ANDAMAN & NICOBAR,SOUTH ANDAMAN,4.82,5,100.0,81.82,0.0,0.0,0.0,18.18,81.82
ANDHRA PRADESH,ANAKAPALLI,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,ANANTAPURAMU,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,ANNAMAYYA DISTRICT,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,BAPATLA,4.96,5,100.0,96.0,0.0,0.0,0.0,4.0,96.0
ANDHRA PRADESH,CHITTOOR,2.92,2,28.0,8.0,0.0,44.0,28.0,20.0,8.0
ANDHRA PRADESH,DR B R AMBEDKAR KONASEEMA,2.0,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0
ANDHRA PRADESH,EAST GODAVARI,2.67,1,33.34,6.67,33.33,6.67,26.67,26.67,6.67
ANDHRA PRADESH,ELURU,2.76,2,32.0,4.0,4.0,52.0,12.0,28.0,4.0
ANDHRA PRADESH,GUNTUR,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KAKINADA,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KRISHNA,3.88,4,68.0,20.0,0.0,0.0,32.0,48.0,20.0
ANDHRA PRADESH,KURNOOL,3.87,3,46.67,46.67,0.0,6.67,46.67,0.0,46.67
ANDHRA PRADESH,NANDYAL,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,NTR DISTRICT,4.84,5,100.0,84.0,0.0,0.0,0.0,16.0,84.0
ANDHRA PRADESH,PALNADU,1.4,1,0.0,0.0,60.0,40.0,0.0,0.0,0.0
ANDHRA PRADESH,PARVATHIPURAM MANYAM,2.28,2,0.0,0.0,4.0,64.0,32.0,0.0,0.0
ANDHRA PRADESH,PRAKASAM,2.84,2,32.0,16.0,20.0,24.0,24.0,16.0,16.0
ANDHRA PRADESH,SPSR NELLORE,2.12,1,8.0,0.0,32.0,32.0,28.0,8.0,0.0
ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,2.0,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0
ANDHRA PRADESH,SRI SATHYASAI DISTRICT,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,SRIKAKULAM,4.28,5,84.0,44.0,0.0,0.0,16.0,40.0,44.0
ANDHRA PRADESH,TIRUPATI,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,VISHAKHAPATNAM,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
